,Date,JPYKRW
795,2016-09-09,1074.15
796,2016-09-08,1073.13
797,2016-09-07,1074.65
798,2016-09-06,1070.75
799,2016-09-05,1070.27
800,2016-09-02,1077.09
801,2016-09-01,1081.04
802,2016-08-31,1081.08
803,2016-08-30,1090.41
804,2016-08-29,1097.81
805,2016-08-26,1111.74
806,2016-08-25,1110.56
807,2016-08-24,1118.75
808,2016-08-23,1116.89
809,2016-08-22,1118.64
810,2016-08-19,1116.93
811,2016-08-18,1106.24
812,2016-08-17,1104.54
813,2016-08-16,1092.9
814,2016-08-12,1092.37
815,2016-08-11,1086.28
816,2016-08-10,1082.95
817,2016-08-09,1082.71
818,2016-08-08,1081.94
819,2016-08-05,1095.44
820,2016-08-04,1100.44
821,2016-08-03,1105.67
822,2016-08-02,1092.21
823,2016-08-01,1082.77
824,2016-07-29,1085.76
825,2016-07-28,1077.42
826,2016-07-27,1074.08
827,2016-07-26,1090.46
828,2016-07-25,1073.09
829,2016-07-22,1072.78
830,2016-07-21,1073.38
831,2016-07-20,1071.55
832,2016-07-19,1073.32
833,2016-07-18,1077.88
834,2016-07-15,1070.7
835,2016-07-14,1073.17
836,2016-07-13,1095.82
837,2016-07-12,1104.54
838,2016-07-11,1121.71
839,2016-07-08,1151.42
840,2016-07-07,1142.36
841,2016-07-06,1155.45
842,2016-07-05,1138.56
843,2016-07-04,1118.65
844,2016-07-01,1118.64
845,2016-06-30,1120.63
846,2016-06-29,1127.67
847,2016-06-28,1141.34
848,2016-06-27,1165.15
849,2016-06-24,1146.68
850,2016-06-23,1083.2
851,2016-06-22,1101.6
852,2016-06-21,1104.14
853,2016-06-20,1108.83
854,2016-06-17,1125.33
855,2016-06-16,1130.84
856,2016-06-15,1105.09
857,2016-06-14,1112.95
858,2016-06-13,1108.44
859,2016-06-10,1091.5
860,2016-06-09,1087.66
861,2016-06-08,1077.51
862,2016-06-07,1073.42
863,2016-06-03,1089.47
864,2016-06-02,1089.25
865,2016-06-01,1085.57
866,2016-05-31,1072.88
867,2016-05-30,1071.49
868,2016-05-27,1075.56
869,2016-05-26,1075.2
870,2016-05-25,1073.11
871,2016-05-24,1088.84
872,2016-05-23,1080.95
873,2016-05-20,1080.24
874,2016-05-19,1082.39
875,2016-05-18,1082.33
876,2016-05-17,1072.24
877,2016-05-16,1082.46
878,2016-05-13,1077.84
879,2016-05-12,1071.72
880,2016-05-11,1076.36
881,2016-05-10,1073.82
882,2016-05-09,1083.91
883,2016-05-04,1081.22
884,2016-05-03,1079.12
885,2016-05-02,1069.72
886,2016-04-29,1065.49
887,2016-04-28,1053.29
888,2016-04-27,1033.74
889,2016-04-26,1036.61
890,2016-04-25,1032.37
891,2016-04-22,1036.06
892,2016-04-21,1034.64
893,2016-04-20,1039.18
894,2016-04-19,1038.48
895,2016-04-18,1058.85
896,2016-04-15,1049.74
897,2016-04-14,1058.2
898,2016-04-12,1056.94
899,2016-04-11,1060.56
900,2016-04-08,1059.33
901,2016-04-07,1064.08
902,2016-04-06,1051.01
903,2016-04-05,1050.06
904,2016-04-04,1030.74
905,2016-04-01,1024.82
906,2016-03-31,1015.67
907,2016-03-30,1022.46
908,2016-03-29,1024.98
909,2016-03-28,1027.67
910,2016-03-25,1035.4
911,2016-03-24,1034.12
912,2016-03-23,1032.9
913,2016-03-22,1038.81
914,2016-03-21,1041.39
915,2016-03-18,1044.66
